                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.9363,                0.85434,                 1.0834,                 0.8749,                0.74815,                0.85664,                0.67813,                0.83608,                0.63364,                0.97653,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 0.9511,                0.87662,                 1.1002,                0.87745,                0.74947,                0.85787,                 0.6816,                0.83454,                 0.6272,                 0.9761,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                0.94326,                0.81134,                 1.0789,                0.88317,                0.74859,                0.85782,                0.68365,                0.82858,                0.62551,                0.97335,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                0.95599,                 0.8402,                 1.0727,                0.88292,                0.75008,                0.85785,                0.68595,                0.82405,                0.62842,                0.97163,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                0.91634,                0.80026,                 1.0433,                0.87964,                  0.755,                 0.8588,                0.68945,                0.82267,                0.62623,                0.97043,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                0.90562,                0.81241,                 1.0773,                0.79622,                0.81812,                0.86155,                 0.6882,                0.82121,                0.62289,                0.96901,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 0.9362,                0.79943,                 1.0954,                0.82814,                  0.808,                 0.8662,                0.69823,                0.81543,                0.61524,                0.96535,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                0.91352,                0.79495,                 1.0768,                0.87506,                 0.7796,                0.86633,                0.69946,                0.80933,                 0.6092,                0.96372,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     41,                0.90942,                0.79187,                 1.0659,                 0.8744,                 0.7807,                0.86852,                0.70474,                0.80267,                 0.6018,                0.96059,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     42,                0.95637,                0.80631,                 1.0744,                0.84888,                0.80208,                0.86891,                0.70722,                0.79744,                0.59723,                0.95787,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     43,                0.93446,                 0.8081,                 1.0839,                0.84918,                0.80736,                0.87026,                0.71144,                0.79434,                0.59525,                0.95621,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     44,                0.89938,                0.76042,                 1.0655,                0.86242,                0.80918,                0.86898,                0.71411,                0.79162,                0.59249,                0.95445,              6.952e-05,              6.952e-05,              6.952e-05
                     45,                0.87219,                0.80954,                 1.0609,                0.85648,                0.80904,                0.86704,                0.71357,                0.78802,                0.58932,                0.95342,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     46,                0.88833,                0.76527,                 1.0593,                0.81892,                0.82101,                 0.8674,                0.71031,                0.78239,                0.58597,                0.95056,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     47,                0.88046,                0.76486,                 1.0577,                0.87841,                 0.7912,                 0.8764,                0.71126,                0.77964,                0.58121,                0.94913,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     48,                0.85649,                0.75229,                 1.0538,                0.88321,                0.79383,                0.87581,                0.71257,                0.77859,                 0.5766,                0.94837,             6.4807e-05,             6.4807e-05,             6.4807e-05
